term (main_entry),glycan_dictionary_accession,glytoucan_accession ,term_in_sentence,publication,definition,term_xref,best_match,synonymns,function,disease_associations,wikipedia,essentials_of_glycobiology
Sialyl Lewis a,GD000150,G00053MO,"By comparing the serum O-glycan profiles from healthy controls with those of cancer patients, we identified a marker candidate, core 1 sialyl Lewis A (NeuAcα2-3Galβ1-3(Fucα1-4)GlcNAcβ1-3Gal) (abbreviated C1SLA), whose concentration appeared to be weakly correlated with CA19-9 values.[PMID:26641888]",26641888|31424423|26530370|17760270|18343410|16033091|8829184|11907351|20592391|26641888|24128856|30249386|10773785|16149606|10996727|10436809|10667238|7720892|7630017|10612415|9836451|12511721|22623153,"A sialyated version of Lewis A with a branched structure of amino tetrasaccharide consisting of a sialyl residue, linked (2→3) to a galactosyl residue that in turn is linked (1→3) to a glucosaminyl residue at the reducing end, which is also carrying a fucosyl residue at the 4-position.[CHEBI:62681]",GlycoEpitope:EP0008|CID:53356732|CHEBI:62681|GlycoMotif:GGM.000024,GTC:G00053MO|GlycoEpitope:EP0008|CID:53356732|CHEBI:62681|GlycoMotif:GGM.000024,SLea|CA19-9|CA19-9 antigen|SLe^a|Slea,"The carbohydrate determinants,Sialyl Lea and Sialyl Lex,which are frequently expressed on human cancer cells,serve as ligands for a cell adhesion molecule of the selectin family,E-selectin,which is expressed on vascular endothelial cells. These carbohydrate determinants are involved in the adhesion of cancer cells to vascular endothelium and thus contribute to hematogenous metastasis of cancer.[GlycoEpitope:EP0008]",pancreatic adenocarcinoma[GlycoEpitope:EP0008]|hepatocellular cancer[GlycoEpitope:EP0008]|cholangiocellular cancer[GlycoEpitope:EP0008]|gastric cancer|[GlycoEpitope:EP0008]colorectal cancer[GlycoEpitope:EP0008]|ovarian cancer[GlycoEpitope:EP0008]|lung cancer[GlycoEpitope:EP0008]|breast cancer[GlycoEpitope:EP0008]|uterine cancer[GlycoEpitope:EP0008],,
Sialyl Lewis x,GD000151,G00054MO,"As sialyl Lewis X is a lignad of the selectin family, it has been proposed that sialyl Lewis X-rich colon cancer cells metastasize to the liver by adhesion to selectins on hepatic endothelial cells.[PMID:12828079]",12828079|8940172|10075923|19054801|9642161|31054033|15229399|29061785|16033070|10728707|9556613|8940172|9298692|18607721|22593503|25944902|9642161|15780091|20401888,"A sialylated version of Lewis X antigen expressed on cell surfaces with structure alpha-Neup5Ac-(2->3)-beta-D-Galp-(1->4)-[alpha-L-Fucp-(1->3)]-beta-D-GlcpNAcis α-Neup5Ac-(2→3)-β-D-Galp-(1→4)-[α-L-Fucp-(1→3)]-D-GlcpNAc in which the anomeric configuration of the reducing-end N-acetyl-beta-D-glucosamine residue is beta. It is a ligand for selectins. [MESH:2030970,CHEI:71622]",GlycoEpitope:EP0012|CID:44456859|CHEBI:71622|MESH:2030970|GlycoMotif:GGM.000022,GTC:G00054MO |GlycoEpitope:EP0012|CID:44456859|CHEBI:71622|MESH:2030970|GlycoMotif:GGM.000022,SLe(x)|SLe^x|SLex|Slex,"Sialyl Lex was shown to be a specific ligand on human leukocytes for vascular E- and P-selectins,and was shown to mediate leukocyte recruitment.[GlycoEpitope:EP0012]|The determinant is also frequently expressed on human cancer cells,and is involved in the adhesion of cancer cells to vascular endothelium and thus contribute to hematogenous metastasis of cancer.[GlycoEpitope:EP0012]",colon cancer[GlycoEpitope:EP0012]|colorectal cancer[GlycoEpitope:EP0012],,
Sialyl Lewis x-i,GD000152,G06597DS,Univariate analysis showed that survival of NSCLC patients with high (more than 100 units/ml) sialyl Lewis X-i antigen levels was significantly poorer than that of patients with low antigen levels (P = 0.0001).[PMID:9815711],9815711|9730796|11867833|9713476|2819663|9372327|9615762|1352835|2575680|9330526|8753037|2210805|12680155|11974864|10453898|2565704|17144590,,GlycoEpitope:EP0043|CID:91855346|CHEBI:147019,GTC:G06597DS|GlycoEpitope:EP0043|CID:91855346|CHEBI:147019,,hematogenous metastasis[GlycoEpitope:EP0043]|the progression of inflammation[GlycoEpitope:EP0043],lung cancer[GlycoEpitope:EP0043]|ovarian cancer[GlycoEpitope:EP0043]|pancreatic adenocarcinoma[GlycoEpitope:EP0043],,
Sialyl T antigen,GD000153,G65562ZE,The expression and functional analysis of the sialyl-T antigen in prostate cancer.[PMID:32583304],32583304|31897478|31719620|10365852|25727149|11523928|20407596|25464017|30864133|26391208|19811634|29796594|23725156|8905873|11192238|18275089|27037304|11949946|15604091|24118321,Alpha-Neup5Ac-(2→3)-beta-D-Galp-(1→3)-alpha-D-GalpNAc is alpha-Neup5Ac-(2→3)-beta-D-Galp-(1→3)-D-GalpNAc in which the configuration at the GalNAc anomeric carbon is alpha. It has a role as an epitope.[CHEBI:65257],GlycoMotif:GGM.000013|CID:44611726|CHEBI:65257,GlycoMotif:GGM.000013|GTC:G65562ZE|CID:44611726|CHEBI:65257,,,,,
Sialylated biantennary,GD000154,,"Simbucus nigra agglutinin or an antibody specific to sialylated lactosamine with a preference for Neu5Acalpha2-6Gal rather than Neu5Acalpha2-3Gal reduced sperm binding to oviduct isthmic cells, as did occupying putative receptors on sperm with sialylated biantennary glycans.[PMID:23115267]",23115267|31510952|29265394|31589880|3979568|26045275|29029079|30252064,A binantennary glycan with one or two sialic acid residues as non-reducing terminal residues on one or both antennae. [RN],,,sialyl biantennary,,,,
Sialylated complex-type,GD000155,,"By using 1H-NMR spectroscopy we were able to establish that our product contains a single N-linked biantennary , fully sialylated complex-type oligosaccharide , typical of human hepatomas.[PMID:1694115]",1694115|15201278|30471292|30969765|11058758|28342150,Complex N-linked glycan that have added GlcNAc residues at both the α-3 and α-6 mannose sites and do not contain mannose residues apart from the core structure but with sialic acid residues.,,,sialo-complex type,enhance the signaling activity of soluble intercellular adhesion molecule-1 in mouse astrocytes [PMID: 15201278] Appears in IgG-Fc.[PMID:20647032 ],,,NBK453030
Sialylated tetraantennary,GD000156,,A small amount of sialylated tetraantennary oligosaccharide was detected.[PMID:16321355],16321355|1940447|27501865,A tetraantennary glycan with four GlcNAc branches linked to the core and the addition of one sialic acid residues.,,,,,,,
Sialyl-Tn antigen,GD000157,G36123IU,The interaction between Siglec-15 and tumor-associated sialyl-Tn antigen enhances TGF-β secretion from monocytes/macrophages through the DAP12-Syk pathway.[PMID:23035012],23035012|29273237|15770530|31595388|26617889|1720922|15466199|10971172|14652017|8616877|1543361|16965854|21566901|9269833|9834267|24970145|22367369|10778170|30018351|28628803|16149605|32134186|28632300|11308020|10365852|17195456|23567325|11014575|2342728|8575847|1851822|11735169|20960853|7846011,N-acetyl-alpha-neuraminyl-(2→6)-N-acetyl-alpha-D-galactosamine is an N-acetyl-alpha-neuraminyl-(2→6)-N-acetyl-D-galactosamine in which the carbon bearing the anomeric hydroxy group has alpha configuration. It has a role as an epitope. It derives from a N-acetyl-alpha-D-galactosamine and a N-acetyl-alpha-neuraminic acid.[CHEBI:61818],GlycoEpitope:EP0022|CID:51351800|CHEBI:61818,GTC:G36123IU|GlycoEpitope:EP0022|CID:51351800|CHEBI:61818,,"apoptosis of monocyte-derived dendritic cells[GlycoEpitope:EP0022]|decrease of adhesion and increase of migration[GlycoEpitope:EP0022]|increase of tumor growth[GlycoEpitope:EP0022]|associated with morphological changes, decreased growth and increased migration of MDA-MB-231 cells.[GlycoEpitope:EP0022]",anaplastic meningioma[GlycoEpitope:EP0022]|Barrett's esophagus[GlycoEpitope:EP0022]|bladder cancer[GlycoEpitope:EP0022]|breast cancer[GlycoEpitope:EP0022]|colon cancer[GlycoEpitope:EP0022]|colorectal cancer[GlycoEpitope:EP0022]|erythroblastic leukemia[GlycoEpitope:EP0022]|esophageal cancer[GlycoEpitope:EP0022]|gastric cancer[GlycoEpitope:EP0022]|helicobacter pylori chronic gastritis(HpCG)[GlycoEpitope:EP0022]|liver cancer[GlycoEpitope:EP0022]|iterome cancer[GlycoEpitope:EP0022]|ovary tumor[GlycoEpitope:EP0022]|pancreas cancer[GlycoEpitope:EP0022],,NBK453027
SLex Core 2 O-glycan,GD000158,G97345NY,"In particular, the sLeX-modified core 2 O-glycan structure C2-O-sLeX has been directly demonstrated to confer significantly higher affinity selectin binding than sLeX.[PMID:15596301]",15596301,,GlycoMotif:GGM.000053,GlycoMotif:GGM.000053|GTC:G97345NY,SLe^x Core 2 O-glycan,,,,
SSEA-1,GD000159,G85497PI,Our findings suggest that expression of SSEA-1 immunoreactivity in thyroid neoplasms was associated with more aggressive thyroid carcinomas.[PMID:27550342],27550342|25564944|30987116|10778174|19427293|24923741|28092949|16499901|10470652|18787210|2885312|16149609|17003364|27363517|15505339|27990704|2568298|20491542|23572256|1977666|9553168|20458727|2566639|14577357|20960856|15547746|9096265|30639212|1357195|1359630|20181261|20508065|2907526|22624699|22988836|17183690|27188587|7908065|10400391|6137429|1979260|2898921|14736812|30919971,,GlycoEpitope:EP0042|CID:91851144|CHEBI:154343,GTC:G85497PI |GlycoEpitope:EP0042|CID:91851144|CHEBI:154343,,"This determinant is specifically recognized by the antibody raised against stage-specific embryonic antigen-1 (SSEA-1)[GlycoEpitope:EP0042]. The SSEA-1 antibody requires Lex hapten carried by i-antigenic structure (e.g.,nor-nLc6Cer).[GlycoEpitope:EP0042]",,,NBK453030
SSEA-3,GD000160,G25129BT,"Glycosphingolipids (GSLs), such as the globo-series GSLs stage-specific embryonic antigen 3 (SSEA-3), SSEA-4, and Globo-H, are specifically expressed on pluripotent stem cells and cancer cells, and are known to be associated with various biological processes such as cell recognition, cell adhesion, and signal transduction.[PMID:31817926]",31817926|30271856|32684574|26677875|23175153|32525407|29227830|18773292|25561682|10837462|2412924|21149348|17008424|2874662|25171543|31304790|31642560|30484221|30525067|21161592|27325407|28170296|29637816|27318475|31346146|7648586|24236059|21964054|27456773|30558911|21559451|29312455|27549315|30599359|6141938|28883415|30733757|26041528|16643871,"An amino trisaccharide consisting of β-D-galactopyranose, 2-acetamido-2-deoxy-β-D-galactopyranose and α-D-galactopyranose residues joined in sequence by (1→3) glycosidic linkages.[CHEBI:149071]",GlycoEpitope:EP0039|CID:91855781|CHEBI:149071|GlycoMotif:GGM.000079,GTC:G25129BT|GlycoEpitope:EP0039|CID:91855781|CHEBI:149071|GlycoMotif:GGM.000079,,,embryonal carcinoma[GlycoEpitope:EP0039]|teratocarcinoma[GlycoEpitope:EP0039]|yolk sac carcinoma[GlycoEpitope:EP0039],,
SSEA-4,GD000161,G84263XI,"Glycosphingolipids (GSLs), such as the globo-series GSLs stage-specific embryonic antigen 3 (SSEA-3), SSEA-4, and Globo-H, are specifically expressed on pluripotent stem cells and cancer cells, and are known to be associated with various biological processes such as cell recognition, cell adhesion, and signal transduction.[PMID:31817926]",27845370|31817926|26295543|25171543|25978997|30296654|25853231|24862940|31243630|28736232|22895512|24578244|29478902|23574147|23768762|27797400|29227830|18773292|25123923|22924692|22665977|23330736|31831622|31916611|2412924|16033656|24866102|20458727|21149348|26940129|17008424|2874662|23301556|27836003|19118716|24550271|32988880|22743677|20683402|17062733|23570331|30310530|31545316|23509763|24364909|18273440|28985528|22266579,,GlycoEpitope:EP0044|CID:91845478|CHEBI:154843,GTC:G84263XI|GlycoEpitope:EP0044|CID:91845478|CHEBI:154843,,,teratocarcinoma[GlycoEpitope:EP0044],,NBK453023-Chapter 47
Sulfatide,GD000162,G72548RZ,In a previous study we found that sulfatide was efficient in lowering HIV-1 viral loads in SCID mice engrafted with human fetal liver/thymus tissues (SCID-hu).[PMID:23550344],23550344|18465098|26542149|15158666|10434709|22619219|29676479|30196830|16143863|1052451|30400820|29887538|26981544|17986152|31739035|19941861|24578319|30531843|25645724|31197846|22821828|27861899|31037952|23593400|23604989|17855742|25966258|25989600|9657940|29497057|12838515|25170267|9878314|20554435|1410493|26585924|17257892|17044925|21089387|11445552|22977233|21437360|17179664|6273571|8370675,,GlycoMotif:GGM.000063,GlycoMotif:GGM.000063|GTC:G72548RZ,,,,,NBK453023-Chapter 47
T antigen,GD000163,G00031MO,"Tn, sTn, and T antigen neo- or over-expression occurs in many types of cancer including gastric, colon, breast, lung, esophageal, prostate, and endometrial cancer.[PMID:27679419]",723127|19505650|31527246|28113048|25868857|26731525|22994493|3849428|25589241|12709866|26615524|26136575|19671663|18551603|11160729|22261839|30758913|25681708|29113555|24998850|1654819|28039910|29206210|32404521|10555041|26517398|2446015|2998768|3026642|18812503|6092664|2153691|8709258|3009889|15109748|12709866|31787742|27433780|26017382|24048785|26735515|9224657|26061652|29343574|25681708|23805194|26751495|22023388|15381338|8249277|3023660|25866902,An amino disaccharide composed of D-galactose and N-acetyl-α-D-galactosaminyl residues in β-(1→3) linkage.[CHEBI:61820],GlycoEpitope:EP0020|CID:5288347|CHEBI:61820|GlycoMotif:GGM.000009,GTC:G00031MO|GlycoEpitope:EP0020|CID:5288347|CHEBI:61820|GlycoMotif:GGM.000009,TF antigen,"accumulation Lipoprotein(a) or LDL within arterial walls in atherogenesis [GlycoEpitope:EP0020]|cancer progression (increase interaction/communication of the cells)[GlycoEpitope:EP0020]|T antigen expression in RMA lymphoma cells leads to a reduced growth of the tumor[GlycoEpitope:EP0020]|correlation with elevated Golgi pH in cancer cell (breast, colorectal cancer cells)[GlycoEpitope:EP0020]|T antigen on apical surfaces of corneal epithelial cells provide protection against rose bengal penetrance.[GlycoEpitope:EP0020]|reduction of a flexibility of the glycosidic bond and thereby favour certain glycan conformation[GlycoEpitope:EP0020]|T antigen is a target for NK cell-mediated lysis[GlycoEpitope:EP0020]|inverse relationship between T antigen expression and VWF plasma levels[GlycoEpitope:EP0020]","anaplastic meningioma[GlycoEpitope:EP0020]|breast cancer[GlycoEpitope:EP0020]|colorectal cancer[GlycoEpitope:EP0020]|colon cancer[GlycoEpitope:EP0020]|esophageal cancer|gastric cancer[GlycoEpitope:EP0020]|liver cancer[GlycoEpitope:EP0020]|ovarian cancer[GlycoEpitope:EP0020]|prostate cancer[GlycoEpitope:EP0020]|bladder tumor[GlycoEpitope:EP0020]|invasive pneumococcal infection (hemolytic uremic syndrome, hemolytic anemia)[GlycoEpitope:EP0020]",,NBK453023-Chapter 47
Tetraantennary,GD000164,,"In contrast, myeloma IgE showed a higher abundance of triantennary and tetraantennary glycan structures and a low abundance of species with a bisecting N-acetylglucosamine.[PMID:24308486]",24308486|17951374|28880909|9177699|9760189|12322961|20129637|2492275|3402460|2361735|6525453|27730440|2551687|25365149|9751793|29875690|29479898|9134426|30943309|3546284|29888905|30624066|30537828|31110965|29311294|12852965|3015940|1907570|29137999|29359131|29858715|30295034|31829566|8381405|26929217|20662591|30612270|3089784|28186213|3427034|26763099|27354006|24991291|7496138|1940447|11114588|29031301|9448855|3979385|27722599|31126011|28002670|28991403|24032650|15316281|25154914|22490318|22430811|1463783|18803208|7881173|7697655|7240157|1768292,"Type of N-linked glycan in which four antennae are present on the trimannosyl core, each initiated by GlcNAc additions catalyzed by position-specific N-acetylglucosaminyltransferases (GlcNAcTs). The four antennae are initiated by addition of 2 GlcNAcs to the _3 Man (at the 2 and 4 positions) and 2 GlcNAcs to the _6 Man (at the 2 and 6 positions) of the trimannosyl core. Each antenna can be extended or capped with HexNAc, deoxyHex, Hex, or sialic acid residues. [NBK453019-Glossary]",,,,,,https://www.wikidata.org/wiki/Q27104888,
Tetraantennary complex-type,GD000165,,"A variety of high-mannose structures , as well as bi-, tri-, and tetraantennary complex-type carbohydrate , has been found, in relative amounts of 1-25% of the total oligosaccharides.[PMID:1899031]",1899031|8251489|8274017|1899031| 6317691|23668542| 6088518|21495009|1457971|1783599|10988252|11425798|7522229|2574992|3730425|10200178|2939068|21584695| 7524670|7682847|2930192|1726466|9881746|11068879|6704968|2302846|24032650|15316281|11051207|10220588|2813359|2174368|21755550|3571208|1929437|3681300|6581225|3364983|2902877|2297756|1315684|6830758|1998670,"Type of N-linked glycan in which four antennae are present on the trimannosyl core, each initiated by GlcNAc additions catalyzed by position-specific N-acetylglucosaminyltransferases (GlcNAcTs). The four antennae are initiated by addition of 2 GlcNAcs to the _3 Man (at the 2 and 4 positions) and 2 GlcNAcs to the _6 Man (at the 2 and 6 positions) of the trimannosyl core. Each antenna can be extended or capped with HexNAc, deoxyHex, Hex, or sialic acid residues. [NBK453019-Glossary]",https://www.sigmaaldrich.com/technical-documents/articles/biology/glycobiology/n-glycans.html,https://www.sigmaaldrich.com/technical-documents/articles/biology/glycobiology/n-glycans.html,,,,,NBK453030
Tetrasialylated diantennary,GD000166,,"A further preparation, obtained from the most anionic DEAE-cellulose fraction (peak V) or rTf contained several tetrasialylated diantennary glycans whose precise structures remain to be established in future studies.[PMID:1997323]",1997323,A biantennary glycan with two GlcNAc branches linked to the core and the addition of four sialic acid residues.,,,,,,,
Tn antigen,GD000167,G57321FI,"Furthermore, we confirmed that LS174T cells (Tn-positive) transfected with wild-type Cosmc, thus expressing no Tn antigen, had down-regulation of H-Ras expression and subsequent inhibition of EMT process.[PMID:30637914]",27679419|31938254|30637914|24643043|31225574|21259410|31742337|28514044|33014816|28708980|27432485|33050853|26045765|27542280|24411673|27760846|30115016|1410473|29802864|29669308|29251002|32541028|31019509|1582597|2981150|10842187|29638123|22367369|10778170|1510031|19372570|20641477|16149605|15770530|27856425|23814067|28068458|32134186|8174100|10571017|27453399|1727666|23740330,"Tn anitigen or alpha-galnac or N-Acetylgalactosamine is an N-acetyl-D-galactosamine having alpha-configuration at the anomeric centre. It has a role as an epitope. It derives from an alpha-D-galactosamine.[CHEBI:40356,HMDB0000212]",GlycoEpitope:EP0021|CID:84265|CHEBI:40356|HMDB0000212|GlycoMotif:GGM.000008,GTC:G57321FI|GlycoEpitope:EP0021|CID:84265|CHEBI:40356|HMDB0000212|GlycoMotif:GGM.000008,,"lymphatic metastasis[GlycoEpitope:EP0021]|tube formation in Drosophila development[GlycoEpitope:EP0021]|modulation of malignant phenotype (gastric carcinoma cell)[GlycoEpitope:EP0021]|correlation with tumor stage, lymphatic invasion and lymph node matastasis[GlycoEpitope:EP0021]",breast cancer[GlycoEpitope:EP0021]|cervical cancer[GlycoEpitope:EP0021]|colon cancer[GlycoEpitope:EP0021]|colorectal cancer[GlycoEpitope:EP0021]|fibrosarcoma[GlycoEpitope:EP0021]|gastric cancer[GlycoEpitope:EP0021]|liver cancer[GlycoEpitope:EP0021]|ovarian cancer[GlycoEpitope:EP0021]|pancreas cancer[GlycoEpitope:EP0021]|prostate cancer[GlycoEpitope:EP0021]|Tn syndorome[GlycoEpitope:EP0021]|Barrett'sesophagus[GlycoEpitope:EP0021]|Schindler/Kanzaki desease (alpha-N acetylgalactosaminidase deficiency)[GlycoEpitope:EP0021].,,
Triantennary,GD000168,,Targeted delivery of antisense oligonucleotides to hepatocytes using triantennary N-acetyl galactosamine improves potency 10-fold in mice.[PMID:24992960],24992960|27025342|29642865|29456020|26914862|26926155|26299345|28981809|18395704|2211710|23461434|18327885|15264862|22954207|9061362|16581187|26537865|3979568|28129130|7679920|8068017|7783116|3857231|20540518|1706936|2430615|8078981|2211711|6767476|3814128|2597120|7451505|8204583|20619452|10460831|1924399|6643471|31809011|30042045|2477056|7882496|2430614|2551687|2426141|2065052|28988716|31144994|26966183|29809215,"Type of N-linked glycan in which three antennae are present on the trimannosyl core, each initiated by GlcNAc additions catalyzed by position-specific N-acetylglucosaminyltransferases (GlcNAcTs). The three antennae can be be initiated by addition of 2 GlcNAcs to the _3 Man (at the 2 and 4 positions) and 1 GlcNAc to the _6 Man (at the 2 position) of the trimannosyl core or 1 on the _3 and 2 on the _6 Man (at the 2 and 6 positions). Each antenna can be extended or capped with HexNAc, deoxyHex, Hex, or sialic acid residues. [NBK453019-Glossary]",,,,,,,
Triantennary complex,GD000169,,Fucosylated biantennary complex-type and small amounts (less than 5%) of triantennary complex-type structures were identified on the glycosylated asparagine residues using sequential exoglycosidase and endoglycosidase digestions combined with matrix-assisted laser desorption/ionization mass spectrometry (MALDI-MS).[PMID:9118998],9118998|9061362|18395704|3814128|7451505|10460831|26926155|26966183|16581187|16973123|8204583|29809215|11114588|31322324|15044389|16372382|8251489|8299583|1555586|7509658|1569060|16261636,"A complex N-glycan that has three branches attached to the non-reducing terminal Man residues of the trimannosyl core.[CHEBI:156252]  Each branch is initiated with a GlcNAc and can be exteneded or capped with HexNAc, deoxyHex, Hex, or sialic acid residues. ",CHEBI:156252,CHEBI:156252,Triantennary complex-type,,,,NBK453030
Triantennary N-glycans,GD000170,,Increased expression of the high-mannose M6N2 and NeuAc3H3N3M3N2F tri-antennary N-glycans in cholangiocarcinoma.[PMID:29399163],29399163|22325877|18439991|24873509|11454001,"Type of N-linked glycan in which three antennae are present on the trimannosyl core, each initiated by GlcNAc additions catalyzed by position-specific N-acetylglucosaminyltransferases (GlcNAcTs). The three antennae can be be initiated by addition of 2 GlcNAcs to the _3 Man (at the 2 and 4 positions) and 1 GlcNAc to the _6 Man (at the 2 position) of the trimannosyl core or 1 on the _3 and 2 on the _6 Man (at the 2 and 6 positions). Each antenna can be extended or capped with HexNAc, deoxyHex, Hex, or sialic acid residues. [NBK453019-Glossary]",,,,,,,
Triantennary sialylated,GD000171,,LC-ESIMS/MS analysis revealed that both light chain and heavy chain were N-glycosylated mainly by A2S2 but also by triantennary sialylated glycans.[PMID:18642129],18642129|31964828|3979568|27936604|23681398|21538882|7579793|7613477|2223825|3539023|3674882,A triantennary glycan with three GlcNAc branches linked to the core and the addition of one sialic acid residues.,,,,Appears in human serotransferrin.[PMID: 3979568],,,
Triantennary trisialylated fucosylated,GD000172,,Diantennary monosialylated glycans and triantennary trisialylated fucosylated and non-fucosylated structures have also been identified.[PMID:17591618],17591618,A triantennary glycan with three GlcNAc branches linked to the core and the addition of three sialic acid residues and fucose added.,,,,,,,
Trifucosyl Lewis b antigen,GD000173,G74578MX,Extended type-1 chain glycosphingolipid antigens. Isolation and characterization of trifucosyl-Leb antigen (III4V4VI2Fuc3Lc6)[PMID:1735443],1735443,"N-[(2R,3R,4R,5S,6R)-4-[(2R,3R,4S,5S,6R)-4-[(2S,3R,4R,5S,6R)-3-Acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-6-(hydroxymethyl)-5-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-hydroxy-6-(hydroxymethyl)-5-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]acetamide is an amino sugar.[CHEBI:153783]",GlycoEpitope:EP0092|CID:91845957|CHEBI:153783,GlycoEpitope:EP0092|GTC:G74578MX|CID:91845957|CHEBI:153783,trifucosyl-Leb antigen,cancer-associated antigen[GlycoEpitope: EP0092],colonic cancer[GlycoEpitope: EP0092]|endometrial cancer[GlycoEpitope: EP0092]|liver cancer[GlycoEpitope: EP0092]|pancreatic cancer[GlycoEpitope: EP0092]|rectal cancer[GlycoEpitope: EP0092],,
Trifucosyl lewis y,GD000174,G74917JX,"The third, major component, common in all eight cases, has been identified as trifucosyl Ley (lactotrifucononaosylceramide, III3FucV3FucVI2FucnLc6, Structure 2 below) based on 1H NMR spectroscopy, methylation analysis, and direct-probe electron-impact mass spectrometry.[PMID:3733752]",3733752|2426269,A branched heptasaccharide derivative consisting of two repeating units of β-D-Gal-(1→4)-[α-L-Fuc-(1→3)]-β-D-GlcNAc (joined by a (1→3)-linkage) with an α-L-fucosyl residue attached at the 2-position of the galactose residue at the non-reducing end.[CHEBI:61332],GlycoEpitope:EP0094|CID:50909806|CHEBI:61332,GlycoEpitope: EP0094|GTC:G74917JX|CID:50909806|CHEBI:61332,trifucosyl Ley,,colonic adenocarcinomia[GlycoEpitope: EP0094],,
Trimannosyl core,GD000175,,"This glycoengineered H. polymorpha strain produced glycoproteins mainly containing trimannosyl core N-glycan (Man(3)GlcNAc(2)), which is the common core backbone of various human-type N-glycans.[PMID:18320567]",18320567|27629418|26514868|26821880|2477227|6213618|31747570|29273674|31064325|1291063|28353332|1421754|29666272|11421342|15648688|28179475|28903882|27189951|9455915|22768188|9254048|8721739|2249985|22933239|25629585|24489949|2981047|11067815|1729985|1710649|16672288|2719668|19003000|23025485|22500028|10409642|1325461|23136055|23085445|21656680|22448293|22132163|1425696|20696712|18056652|15084511|18633282|15814299,"A glycan that constitutes the core structure common to all high-mannose, complex, or hybrid N-glycans. The trimannosyl core composition is Man3 GlcNAc2 and includes a chitobiose at the reducing terminal which is extended by a single b-linked Man residue. The b-linked Man is branched by two additional a-linked Man residues, one at the 3 position and one at the 6 position.",,,,,,,
Trisialylated,GD000176,,"Many (82.7%) were found to be tetraantennary N-acetyllactosamine-type (22.8% with one, 3.6% with two and 0.4% with three N-acetyllactosamine repeats) being tetrasialylated (41%), trisialylated (29.6%) and disialylated (12.2%) |HPAE-PAD and FACE analysis suggests that they are triantennary and trisialylated with core fucosylation.[PMID:8477709]",6469957|18818422|18332077|21138277|9136890|10782293|19841910|20067809|14751029|8797382|16877748|19131698|20578731|24669823|22426998|27501865|2121479|24663386|32209427|32737218|33245334|26927318|30962676|28370937|30194503|26321095|30463578|31455764|31566965|31266306|29782424|31247951|30487799|2049094|1997323|10913832,A glycan with three sialic acid components.,,,,,,,
Trisialylated complex-type oligosaccharide-alditols,GD000177,,"The structures of the two major oligosaccharide-alditols separated by ion-exchange chromatography on a Mono Q column were investigated by means of methylation analysis, glycosidase digestion, and Smith periodate degradation, and they were assigned as typical di- and trisialylated complex-type oligosaccharide-alditols with two and three peripheral chains consisting of Gal-GlcNAc sequences , respectively.[PMID:3571205]",3571205,,,,,,,,
Trisialylated diantennary,GD000178,,Determination of glycan primary structures and characterization of a new type of trisialylated diantennary glycan.[PMID:1997323],1997323,A diantennary/biantennary glycans with three sialic acid components.,,,,,,,
Trisialylated triantennary,GD000179,,The N-glycans are of the complex type with the core-fucosylated disialylated biantennary and trisialylated triantennary structures predominating.[PMID:8942648],30194503|27501865|10998266|20578731|17591618|14751029|18818422|8942648|8900952,A triantennry glycan with three sialic acid components.,,,,,,,
VIM-2,GD000180,G22418PV,Anti-SSEA-1 which binds to glycoconjugates with a Gal beta 1-4(fuc alpha 1-3)GlcNAc epitope and VIM-2 which binds to gangliosides with a NeuAc alpha 2-3GlcNAc beta-4(FUC alpha 1-3) GlcNAc beta 1-3Gal-epitope were used to determine the expression of their corresponding carbohydrate antigens in human leukocytes and leukemia cells.[PMID:1690317],27834790|31523406|29978304|29575185|27326514|29029114|32450200|29432937|31906402|28739428|29298123|30976429|29091730|27770796|31330771|31138570|27154587|31542553|30519059|30590504|25880997|27490501|29981456|28559273|28193652|26638216|25897818|26238337|19553129|29644540|26242685|28487556|32622213|30248413|24762211|11451678|33169865|11897589|31479607,α-Neup5Ac-(2→3)-β-D-Galp-(1→4)-β-D-GlcpNAc-(1→3)-β-D-Galp-(1→4)-[α-L-Fucp-(1→3)]-D-GlcpNAc in which the anomeric configuration of the N-acetyl-D-glucosamine residue at the reducing end is β.[CHEBI:85946],GlycoEpitope:EP0019|CID:91825708|CHEBI:85946|GlycoMotif:GGM.000033,GTC:G22418PV |GlycoEpitope:EP0019|CID:91825708|CHEBI:85946|GlycoMotif:GGM.000033,,CDw65 have been shown to interact with the ELAM-1 molecule on activated endothelium.[GlycoEpitope:EP0019],chronic myelogenous leukemia.[GlycoEpitope:EP0019],,
